time price
1512833420191 14636.84
1512833420562 14636.82
1512833420646 14629.99
1512833421005 14639.99
1512833421206 14592.47
1512833421422 14636.87
1512833421423 14629.99
1512833421443 14637
1512833421610 14636.9
1512833421704 21780
1512833421968 14875.74
1512833422062 14657.99
1512833422338 14869.45
1512833422338 14746.47
1512833422390 14636.87
1512833422761 14639.65
1512833422763 14916.24
1512833422858 14639.64
1512833422879 14629.98
1512833422941 14510.02
1512833422962 14913.54
1512833423015 14510.02
1512833423330 15087.99
1512833423447 14592.47
1512833423670 15147.83
1512833423680 14629.98
1512833423712 14625.9
1512833423713 14629.99
1512833423892 14629.97
1512833423955 14629.98
1512833423966 14714.2
1512833424188 14571.29
1512833424391 14639.99
1512833424392 14637
1512833424392 14639.66
1512833424421 14571.29
1512833424910 14913.54
1512833424982 14636.92
1512833425056 14530.4
1512833425174 14905.94
1512833425323 14530.4
1512833425534 14629.98
1512833425713 14869.45
1512833426009 14592.46
1512833426030 14562.03
1512833426083 14857.15
1512833426241 14510.02
1512833426263 14510.02
1512833426305 14636.93
1512833426379 14639.63
1512833426474 14654.84
1512833426495 14510.02
1512833426612 14626.25
1512833426728 14530.4
1512833426834 14630.99
1512833426855 14630.99
1512833426876 14639.64
1512833426897 14637
1512833426960 14530.32
1512833427024 14629.97
1512833427183 14629.98
1512833427439 14791.62
1512833427871 14917.71
1512833427924 14530.32
1512833428176 14629.98
1512833428177 14639.64
1512833428186 14510.02
1512833428197 14510.02
1512833428322 14639.62
1512833428407 14530.4
1512833429217 14629.98
1512833429269 14636.8
1512833429290 14629.97
1512833429713 14562.03
1512833429785 14592.46
1512833429873 14625.9
1512833429978 14626.25
1512833430202 14510.02
1512833430244 14510.02
1512833430536 15147.83
1512833430559 14636.92
1512833430570 14639.63
1512833430580 14637
1512833430945 15163.31
1512833430946 14630
1512833431202 14636.91
1512833431329 14629.98
1512833431458 14629.96
1512833431828 14636.79
1512833431924 14629.97
1512833431966 14571.28
1512833431987 14629.94
1512833432042 14571.28
1512833432043 14743.28
1512833432159 14626.27
1512833432201 14626.27
1512833432310 14510.02
1512833432345 14510.02
1512833432691 14857.15
1512833432765 14562.02
1512833432989 14866.93
1512833433213 14562.02
1512833433381 14562.02
1512833433484 14639.62
1512833433505 14629.96
1512833433526 14905.94
1512833433609 14639.61
1512833433653 14626.26
1512833433685 14829.6
1512833433695 14828.49
1512833433748 14901.95
1512833434021 14634.13
1512833434053 14629.99
1512833434147 14562.02
1512833434251 14562.02
1512833434293 14630.99
1512833434314 14565.41
1512833434376 15519.81
1512833434428 14745.51
1512833434460 14714.2
1512833435036 14629.94
1512833435036 14626.24
1512833435703 14626.26
1512833435713 14901.95
1512833435862 14626.23
1512833435863 14902.74
1512833436243 14626.24
1512833436244 14626.21
1512833436245 14634.13
1512833436444 14866.93
1512833436878 14852.45
1512833436879 14626.23
1512833436881 14902.74
1512833436882 14626.19
1512833436942 14903.44
1512833437037 14626.27
1512833437241 14625.7
1512833437314 14626.21
1512833437367 14626.17
1512833437611 14636.91
1512833437611 14636.79
1512833437614 14625.7
1512833437632 14630.99
1512833437727 15163.31
1512833437992 15103.99
1512833437993 14626.19
1512833438086 14625.69
1512833438420 14630.99
1512833438535 14626.17
1512833438538 14505.27
1512833438681 14625.67
1512833438682 14505.27
1512833438685 14505.27
1512833438809 14636.78
1512833439135 14625.7
1512833439411 14625.7
1512833439445 14565.41
1512833439980 14625.69
1512833440032 14639.61
1512833440106 14625.66
1512833440190 14561.51
1512833440191 14639.6
1512833440467 14636.9
1512833440980 14625.67
1512833441002 14625.64
1512833441024 14903.44
1512833441035 14637
1512833441178 14505.27
1512833441180 14505.27
1512833441316 14917.44
1512833441539 14626.27
1512833442051 21880
1512833442149 14625.66
1512833442239 14625.63
1512833442720 14625.64
1512833442768 14625.61
1512833443162 14505.27
1512833443173 14625.63
1512833443194 14505.27
1512833443273 14917.44
1512833443344 14625.69
1512833443456 14904.74
1512833443492 14626.2
1512833443950 14636.78
1512833443952 14636.9
1512833443953 14637
1512833444244 14625.69
1512833444318 14904.74
1512833444360 14625.6
1512833444498 14902.94
1512833444540 14637
1512833444681 15103.99
1512833444733 14625.61
1512833444785 14625.58
1512833444858 15062.99
1512833445666 14505.27
1512833445668 14505.27
1512833445670 14625.6
1512833445671 14902.94
1512833445674 15519.81
1512833445675 14791.62
1512833445803 14639.6
1512833445804 14625.57
1512833445804 14902.64
1512833445806 14745.51
1512833445807 14636.77
1512833445808 14639.59
1512833445809 14745.5
1512833445951 14918.36
1512833445997 14625.58
1512833446126 14625.55
1512833446483 14625.57
1512833446525 14625.69
1512833446878 14852.45
1512833447342 14858.7
1512833447480 14636.89
1512833447480 14625.69
1512833447660 14625.53
1512833447977 14625.55
1512833448104 14625.51
1512833448263 14630.99
1512833448446 14625.6
1512833448447 14639.64
1512833448533 14636.77
1512833448543 14625.53
1512833448776 14625.5
1512833448966 14566.99
1512833449181 14625.51
1512833449191 14625.48
1512833449680 14625.5
1512833449755 14625.47
1512833450093 14637
1512833450095 14636.77
1512833450115 14625.48
1512833450125 14636.89
1512833450156 14625.45
1512833451014 14625.47
1512833451015 14639.59
1512833451025 14639.58
1512833451077 14625.44
1512833451098 14566.99
1512833451546 14636.76
1512833451935 15062.99
1512833451936 15103.98
1512833451937 21980
1512833452191 14625.45
1512833452223 14625.42
1512833452646 14561.51
1512833452741 14902.64
1512833452804 14625.44
1512833453006 14625.41
1512833453017 14630.99
1512833453176 14550.27
1512833453207 14550.27
1512833453217 14550.27
1512833453250 14550.27
1512833453348 14550.27
1512833453379 14625.42
1512833453453 14550.27
1512833453527 14626.27
1512833453569 14575.02
1512833453686 14625.39
1512833453706 14629.99
1512833453984 14575.02
1512833454231 14625.39
1512833454558 14629
1512833454613 14626.2
1512833454905 14583.06
1512833454937 14625.41
1512833454958 15800
1512833455117 14625.38
1512833455620 14625.39
1512833455622 14625.36
1512833456134 14639.58
1512833456136 14625.38
1512833456144 14639.57
1512833456336 14625.35
1512833456337 14636.76
1512833456339 14630.99
1512833456340 14629.99
1512833456398 14625.41
1512833456646 14625.36
1512833456662 14745.5
1512833456662 14625.33
1512833456799 14745.49
1512833457159 14625.35
1512833457170 14625.32
1512833457564 14858.7
1512833457565 14629.99
1512833457617 14625.33
1512833457670 14625.3
1512833457871 14864.54
1512833458083 14630.99
1512833458220 14625.32
1512833458429 14625.28
1512833458492 15103.98
1512833458556 14610
1512833458620 15135.32
1512833458675 14583.06
1512833458696 14636.75
1512833458738 14625.3
1512833458821 14625.26
1512833459261 14625.28
1512833459390 14594.76
1512833459413 14625.25
1512833459920 14625.26
1512833459921 14625.23
1512833460321 14816.59
1512833460353 14625.25
1512833460554 14625.22
1512833460832 14943.75
1512833460874 14565.31
1512833460927 14625.23
1512833461149 14625.2
1512833461403 14625.22
1512833461404 14625.6
1512833461498 14639.57
1512833461530 14625.4
1512833461605 14625.32
1512833461605 14636.77
1512833461635 14639.56
1512833461805 14565.31
1512833461932 14565.31
1512833462036 14636.76
1512833462581 14625.4
1512833462582 14629.99
1512833462583 14630.99
1512833462584 14636.75
1512833462625 14625.19
1512833462679 14594.76
1512833462894 14565.31
1512833463113 14625.2
1512833463117 14625.17
1512833463166 14628.99
1512833463330 14599.35
1512833463607 14599.35
1512833463617 14625.19
1512833463753 14625.16
1512833463881 14920.24
1512833463924 14625.69
1512833464220 14625.17
1512833464221 14625.14
1512833464631 14610
1512833464736 14550.35
1512833464757 14625.16
1512833464779 14550.35
1512833464895 14625.13
1512833465087 14864.54
1512833465345 14625.14
1512833465397 15135.32
1512833465398 14625.11
1512833465439 14872.47
1512833465598 15147.83
1512833465863 14625.13
1512833465864 14920.24
1512833465937 14625.31
1512833466011 14918.84
1512833466085 14629.98
1512833466572 14823.04
1512833466783 14745.49
1512833466857 14625.31
1512833466858 14745.48
1512833466879 14639.56
1512833466880 14918.84
1512833466974 14625.1
1512833467038 14639.55
1512833467154 14916.24
1512833467397 14625.11
1512833467408 14625.08
1512833467461 14625.41
1512833467556 14824.15
1512833467937 15198.88
1512833467980 14625.1
1512833468022 14817.62
1512833468118 14625.07
1512833468331 14943.75
1512833468523 14625.08
1512833468649 14625.05
1512833468829 14817.62
1512833468850 14628.99
1512833468851 14625.69
1512833468855 14629.98
1512833469051 14594.75
1512833469274 14625.07
1512833469369 14943.3
1512833469530 14625.31
1512833469530 14625.12
1512833469531 14629.97
1512833470038 14629.99
1512833470200 14625.31
1512833470471 14625.03
1512833470779 14625.05
1512833470845 14625.01
1512833471025 14594.75
1512833471131 14623
1512833471258 14625.03
1512833471353 14625
1512833471797 14628.99
1512833471798 14625.01
1512833471799 14622.98
1512833472123 14872.47
1512833472314 15147.83
1512833472315 14639.55
1512833472335 14625
1512833472387 14916.24
1512833472419 14864.38
1512833472453 15140.99
1512833472514 14639.54
1512833472546 14622.97
1512833472588 14913.94
1512833472927 14631
1512833472980 14622.98
1512833473196 14622.95
1512833473439 14622.97
1512833473471 14622.99
1512833474461 14622.99
1512833474662 14622.94
1512833475161 14625.32
1512833475162 14625.04
1512833475163 14636.76
1512833475164 14629.97
1512833475165 14629.99
1512833475166 14622.95
1512833475169 14639.54
1512833475169 14628.99
1512833475171 14622.92
1512833475690 14622.94
1512833475701 14622.91
1512833475902 15600
1512833475902 14864.38
1512833475976 14610
1512833476123 14622.92
1512833476124 14816.2
1512833476166 14622.89
1512833476229 14868.95
1512833476367 14943.3
1512833476676 14622.91
1512833476719 14609.99
1512833476774 14622.88
1512833476816 14625.69
1512833477128 14625.7
1512833477149 14622.89
1512833477191 14622.86
1512833477234 14625.7
1512833477338 14629.96
1512833477637 14625.7
1512833477699 14622.88
1512833477943 14622.85
1512833477944 14625.7
1512833477945 14628.99
1512833478020 14639.54
1512833478146 14639.53
1512833478284 14622.86
1512833478390 14622.83
1512833478760 14609.99
1512833478792 14622.85
1512833478898 14622.99
1512833479176 15140.99
1512833479244 15127.99
1512833479901 14622.99
1512833480096 14625.12
1512833480097 14622.82
1512833480432 14622.83
1512833480433 14622.8
1512833481019 14622.82
1512833481050 14622.78
1512833481210 14625.69
1512833481220 14629.96
1512833481221 14628.99
1512833481498 14622.8
1512833481584 14622.76
1512833481932 14629.99
1512833481987 14622.78
1512833482085 14622.75
1512833482106 14913.94
1512833482346 14917.54
1512833482449 14622.76
1512833482512 14622.73
1512833483052 14622.75
1512833483108 14609.98
1512833483414 14868.95
1512833483842 14863.92
1512833484044 15750
1512833484086 14628.99
1512833484152 14609.99
1512833484290 14639.53
1512833484291 14505.37
1512833484405 14505.37
1512833484509 14639.52
1512833484697 14629.95
1512833485242 14917.54
1512833485420 14932.73
1512833485586 14745.48
1512833485588 14605
1512833486032 15127.99
1512833486085 15153.99
1512833486139 14609.99
1512833486601 14792.12
1512833486852 14918.36
1512833487052 14623
1512833487179 14863.92
1512833487465 14629.99
1512833487469 14505.37
1512833487487 14628.99
1512833487487 14629.95
1512833487489 14505.37
1512833487571 14851.86
1512833487857 14745.51
1512833487867 14625.04
1512833487933 14596.01
1512833487985 14596.01
1512833488093 14628.99
1512833488269 14639.54
1512833488364 14639.52
1512833488593 14629.94
1512833488891 14622.73
1512833488921 14628.97
1512833488931 14745.51
1512833489461 14505.37
1512833489514 14639.52
1512833489694 14505.37
1512833489757 14639.51
1512833489778 14595.95
1512833489799 14629.98
1512833489971 14595.95
1512833490237 14596
1512833490312 14595.5
1512833490344 14595.52
1512833490386 14628.99
1512833490439 14552.03
1512833490534 14745.5
1512833490555 15201.32
1512833490629 14595.52
1512833490979 15170.95
1512833491074 14595.56
1512833491459 14595.56
1512833491772 14932.73
1512833491773 14628.96
1512833491858 14937.53
1512833491910 14595.58
1512833492281 14595.58
1512833492588 14551
1512833492590 14551
1512833492711 14600
1512833492895 14937.53
1512833493099 15153.99
1512833493130 14923.43
1512833493163 15750
1512833493214 14614.21
1512833493310 15127.98
1512833493651 14629.94
1512833493661 14629.98
1512833493671 14628.99
1512833493930 14923.43
